code,name,year,score
E23000022,Northamptonshire,2007,13.64641731826957
E23000022,Northamptonshire,2008,12.34431867018819
E23000022,Northamptonshire,2009,11.754066042407404
E23000022,Northamptonshire,2010,10.816808897573564
E23000022,Northamptonshire,2011,9.493163927185115
E23000022,Northamptonshire,2012,9.598817834022094
E23000022,Northamptonshire,2013,9.862901786494469
E23000022,Northamptonshire,2014,8.908682543362016
E23000022,Northamptonshire,2015,10.353517079686416
E23000022,Northamptonshire,2016,12.029958410818839
E23000022,Northamptonshire,2017,13.112612011397887
E23000022,Northamptonshire,2018,14.213527519451448
E23000022,Northamptonshire,2019,15.991349938024246
E23000022,Northamptonshire,2020,15.959956396882301
E23000022,Northamptonshire,2021,15.846068151970384
E23000022,Northamptonshire,2022,16.274958696080688
E23000022,Northamptonshire,2023,15.938067297674763
E23000019,Nottinghamshire,2003,23.674646806135694
E23000019,Nottinghamshire,2004,23.386918820209605
E23000019,Nottinghamshire,2005,19.55754799917977
E23000019,Nottinghamshire,2006,17.923684870863926
E23000019,Nottinghamshire,2007,17.92857553664145
E23000019,Nottinghamshire,2008,16.364010628392233
E23000019,Nottinghamshire,2009,15.590900341863305
E23000019,Nottinghamshire,2010,14.14266709374806
E23000019,Nottinghamshire,2011,11.223291847724012
E23000019,Nottinghamshire,2012,9.092431210381783
E23000019,Nottinghamshire,2013,8.961454698439338
E23000019,Nottinghamshire,2014,9.812871190617454
E23000019,Nottinghamshire,2015,11.024081568997888
E23000019,Nottinghamshire,2016,11.516937961088733
E23000019,Nottinghamshire,2017,12.635909715426555
E23000019,Nottinghamshire,2018,15.776861806241754
E23000019,Nottinghamshire,2019,16.715951165318394
E23000019,Nottinghamshire,2020,15.980048904850866
E23000019,Nottinghamshire,2021,12.543735016434313
E23000019,Nottinghamshire,2022,14.491407335811276
E23000019,Nottinghamshire,2023,15.917296694577985
E23000015,Staffordshire,2003,12.360046989215581
E23000015,Staffordshire,2004,12.7108121578052
E23000015,Staffordshire,2005,11.540812434219157
E23000015,Staffordshire,2006,11.375657427622077
E23000015,Staffordshire,2007,11.11758168390439
E23000015,Staffordshire,2008,9.700635506472398
E23000015,Staffordshire,2009,9.047016642193908
E23000015,Staffordshire,2010,8.978836394308075
E23000015,Staffordshire,2011,7.98296338901563
E23000015,Staffordshire,2012,7.116866540506642
E23000015,Staffordshire,2013,7.308975994343218
E23000015,Staffordshire,2014,8.052059464681317
E23000015,Staffordshire,2015,8.791299095294981
E23000015,Staffordshire,2016,10.279728886562566
E23000015,Staffordshire,2017,11.87698180930818
E23000015,Staffordshire,2018,13.658754686623224
E23000015,Staffordshire,2019,13.19135449723981
E23000015,Staffordshire,2020,11.75858931289686
E23000015,Staffordshire,2021,9.863835217659334
E23000015,Staffordshire,2022,11.532742666504959
E23000015,Staffordshire,2023,15.864589928034242
E23000017,Warwickshire,2003,10.456891259011126
E23000017,Warwickshire,2004,11.817685437958604
E23000017,Warwickshire,2005,10.509840097058591
E23000017,Warwickshire,2006,10.42408437760946
E23000017,Warwickshire,2007,10.938902737261971
E23000017,Warwickshire,2008,9.49882921798376
E23000017,Warwickshire,2009,8.57716503102143
E23000017,Warwickshire,2010,8.445598571084826
E23000017,Warwickshire,2011,8.115265301977397
E23000017,Warwickshire,2012,8.623355235943412
E23000017,Warwickshire,2013,7.6973010304035085
E23000017,Warwickshire,2014,7.737540754971056
E23000017,Warwickshire,2015,7.829029825924086
E23000017,Warwickshire,2016,9.227943453906134
E23000017,Warwickshire,2017,11.464490150053106
E23000017,Warwickshire,2018,14.087535072301344
E23000017,Warwickshire,2019,13.305705952475366
E23000017,Warwickshire,2020,13.753110053728982
E23000017,Warwickshire,2021,11.474886464686934
E23000017,Warwickshire,2022,13.154168580447022
E23000017,Warwickshire,2023,12.578187887912872
E23000016,West Mercia,2003,11.268997403604306
E23000016,West Mercia,2004,11.274093495986117
E23000016,West Mercia,2005,9.788405988604696
E23000016,West Mercia,2006,8.675812896024325
E23000016,West Mercia,2007,8.03178169667466
E23000016,West Mercia,2008,8.0769598095304
E23000016,West Mercia,2009,7.99470840974193
E23000016,West Mercia,2010,7.60274545489591
E23000016,West Mercia,2011,8.058950476920868
E23000016,West Mercia,2012,7.788634268441303
E23000016,West Mercia,2013,7.018094800127258
E23000016,West Mercia,2014,6.4787624946121225
E23000016,West Mercia,2015,8.152251825201592
E23000016,West Mercia,2016,10.74438209554127
E23000016,West Mercia,2017,11.333787637662502
E23000016,West Mercia,2018,12.47751570994364
E23000016,West Mercia,2019,13.015304942209108
E23000016,West Mercia,2020,12.631557677677828
E23000016,West Mercia,2021,11.48606023242202
E23000016,West Mercia,2022,13.012553854000446
E23000016,West Mercia,2023,13.735351998516649
E23000014,West Midlands,2003,22.3077612180066
E23000014,West Midlands,2004,22.174689246403837
E23000014,West Midlands,2005,18.834137446866684
E23000014,West Midlands,2006,18.24216366769144
E23000014,West Midlands,2007,17.6835285368451
E23000014,West Midlands,2008,16.205270426919096
E23000014,West Midlands,2009,14.617803923254094
E23000014,West Midlands,2010,13.764732273420668
E23000014,West Midlands,2011,14.871027337703367
E23000014,West Midlands,2012,12.819099928853744
E23000014,West Midlands,2013,11.451835953043695
E23000014,West Midlands,2014,11.597698356901354
E23000014,West Midlands,2015,11.643723734280165
E23000014,West Midlands,2016,12.787953576626684
E23000014,West Midlands,2017,14.489717765585086
E23000014,West Midlands,2018,17.950091975127226
E23000014,West Midlands,2019,20.191693697215616
E23000014,West Midlands,2020,19.709797762509734
E23000014,West Midlands,2021,19.682490128144213
E23000014,West Midlands,2022,25.99053607310045
E23000014,West Midlands,2023,25.45818379805249
E23000026,Bedfordshire,2003,14.09524729976387
E23000026,Bedfordshire,2004,15.516217077525411
E23000026,Bedfordshire,2005,14.452343151817526
E23000026,Bedfordshire,2006,14.993488063264067
E23000026,Bedfordshire,2007,13.79697482630245
E23000026,Bedfordshire,2008,13.625603149569264
E23000026,Bedfordshire,2009,11.907118850615209
E23000026,Bedfordshire,2010,10.487261140753079
E23000026,Bedfordshire,2011,10.744369887724107
E23000026,Bedfordshire,2012,9.00492686537201
E23000026,Bedfordshire,2013,8.44421850202754
E23000026,Bedfordshire,2014,8.927054010973396
E23000026,Bedfordshire,2015,9.931040173231223
E23000026,Bedfordshire,2016,9.990229375861182
E23000026,Bedfordshire,2017,10.696299347498735
E23000026,Bedfordshire,2018,12.491087757313307
E23000026,Bedfordshire,2019,15.958216954683753
E23000026,Bedfordshire,2020,14.829962688115575
E23000026,Bedfordshire,2021,11.600771310974402
E23000026,Bedfordshire,2022,12.76340604564116
E23000026,Bedfordshire,2023,12.51387213634533
E23000023,Cambridgeshire,2003,15.022945353248113
E23000023,Cambridgeshire,2004,14.020151615012782
E23000023,Cambridgeshire,2005,11.940353840726374
E23000023,Cambridgeshire,2006,10.714916049884932
E23000023,Cambridgeshire,2007,11.345524870057844
E23000023,Cambridgeshire,2008,10.288536254222448
E23000023,Cambridgeshire,2009,11.009168297826854
E23000023,Cambridgeshire,2010,9.915071490318548
E23000023,Cambridgeshire,2011,9.021922924673872
E23000023,Cambridgeshire,2012,7.904518186934553
E23000023,Cambridgeshire,2013,7.259739639890343
E23000023,Cambridgeshire,2014,7.439435788151646
E23000023,Cambridgeshire,2015,8.622912449398882
E23000023,Cambridgeshire,2016,9.365908600760994
E23000023,Cambridgeshire,2017,10.234866042654597
E23000023,Cambridgeshire,2018,12.52988725442805
E23000023,Cambridgeshire,2019,13.631907356077408
E23000023,Cambridgeshire,2020,13.634994275831241
E23000023,Cambridgeshire,2021,12.267440222724566
E23000023,Cambridgeshire,2022,13.564023691545659
E23000023,Cambridgeshire,2023,13.021318431798237
E23000028,Essex,2003,10.405650523892406
E23000028,Essex,2004,10.83393725691955
E23000028,Essex,2005,10.147998164220759
E23000028,Essex,2006,10.02150266219562
E23000028,Essex,2007,9.72102407438156
E23000028,Essex,2008,8.99196010967002
E23000028,Essex,2009,8.47995812946447
E23000028,Essex,2010,8.238672921049252
E23000028,Essex,2011,8.100740959589176
E23000028,Essex,2012,8.459241923921507
E23000028,Essex,2013,8.640664210758896
E23000028,Essex,2014,8.82338546833436
E23000028,Essex,2015,9.305019674935012
E23000028,Essex,2016,10.161418832743221
E23000028,Essex,2017,10.774880577947574
E23000028,Essex,2018,13.0406798620314
E23000028,Essex,2019,14.511009469823902
E23000028,Essex,2020,15.343542577295798
E23000028,Essex,2021,13.40186827945084
E23000028,Essex,2022,16.44127696377981
E23000028,Essex,2023,16.02903302841576
E23000027,Hertfordshire,2003,9.575953116649575
E23000027,Hertfordshire,2004,10.61411140905954
E23000027,Hertfordshire,2005,11.337248913956213
E23000027,Hertfordshire,2006,10.85631743814493
E23000027,Hertfordshire,2007,9.917995453813667
